match_id,home_team,away_team,home_goals,away_goals,match_outcome,Home_Ball_Possession,Home_Pass_Accuracy,Home_Total_Shots,Home_Expected_Goals,Away_Ball_Possession,Away_Pass_Accuracy,Away_Total_Shots,Away_Expected_Goals
1035084,Tottenham,Sheffield Utd,2,1,Win,70%,88%,28.0,2.12,30%,69%,7.0,0.66
1035085,West Ham,Manchester City,1,3,Loss,32%,86%,6.0,0.94,68%,93%,29.0,3.63
1035078,Aston Villa,Crystal Palace,3,1,Win,67%,86%,16.0,3.21,33%,75%,6.0,1.17
1035082,Newcastle,Brentford,1,0,Win,56%,78%,9.0,1.44,44%,72%,11.0,0.5
1035077,Bournemouth,Chelsea,0,0,Draw,35%,79%,13.0,1.04,65%,87%,14.0,1.85
1035079,Everton,Arsenal,0,1,Loss,26%,67%,8.0,0.34,74%,89%,13.0,1.02
1035083,Nottingham Forest,Burnley,1,1,Draw,46%,79%,14.0,0.71,54%,84%,10.0,0.55
1035095,Manchester City,Nottingham Forest,2,0,Win,57%,89%,7.0,1.33,43%,86%,10.0,1.03
1035092,Crystal Palace,Fulham,0,0,Draw,51%,81%,7.0,0.3,49%,83%,10.0,0.59
1035094,Luton,Wolves,1,1,Draw,56%,77%,20.0,2.17,44%,73%,3.0,0.59
1035088,Brentford,Everton,1,3,Loss,57%,82%,12.0,1.03,43%,80%,18.0,1.9
1035090,Burnley,Manchester United,0,1,Loss,62%,88%,12.0,1.09,38%,80%,11.0,0.97
1035093,Liverpool,West Ham,3,1,Win,64%,89%,22.0,3.03,36%,78%,11.0,1.1
1035087,Arsenal,Tottenham,2,2,Draw,47%,84%,13.0,2.03,53%,86%,13.0,1.46
1035091,Chelsea,Aston Villa,0,1,Loss,53%,86%,10.0,1.33,47%,85%,15.0,1.07
1035089,Brighton,Bournemouth,3,1,Win,62%,87%,13.0,1.85,38%,77%,12.0,1.14
1035096,Sheffield Utd,Newcastle,0,8,Loss,42%,79%,9.0,0.94,58%,87%,22.0,3.92
1035098,Aston Villa,Brighton,6,1,Win,38%,78%,19.0,1.58,62%,89%,11.0,1.71
1035101,Manchester United,Crystal Palace,0,1,Loss,77%,88%,19.0,1.3,23%,67%,8.0,0.9
1035102,Newcastle,Burnley,2,0,Win,53%,81%,20.0,3.19,47%,79%,8.0,0.65
1035097,Bournemouth,Arsenal,0,4,Loss,42%,81%,8.0,0.65,58%,88%,15.0,3.43
1035106,Wolves,Manchester City,2,1,Win,32%,76%,3.0,0.47,68%,88%,23.0,0.87
1035099,Everton,Luton,1,2,Loss,68%,80%,23.0,2.9,32%,53%,9.0,0.89
1035105,West Ham,Sheffield Utd,2,0,Win,,,,,,,,
1035104,Tottenham,Liverpool,2,1,Win,,,,,,,,
1035103,Nottingham Forest,Brentford,1,1,Draw,,,,,,,,
1035100,Fulham,Chelsea,0,2,Loss,,,,,,,,
1035051,Luton,Burnley,1,2,Loss,,,,,,,,
1035113,Luton,Tottenham,0,1,Loss,,,,,,,,
1035114,Manchester United,Brentford,2,1,Win,,,,,,,,
1035112,Fulham,Sheffield Utd,3,1,Win,,,,,,,,
1035109,Burnley,Chelsea,1,4,Loss,,,,,,,,
1035111,Everton,Bournemouth,3,0,Win,,,,,,,,
1035110,Crystal Palace,Nottingham Forest,0,0,Draw,,,,,,,,
1035116,Wolves,Aston Villa,1,1,Draw,,,,,,,,
1035115,West Ham,Newcastle,2,2,Draw,,,,,,,,
1035108,Brighton,Liverpool,2,2,Draw,,,,,,,,
1035107,Arsenal,Manchester City,1,0,Win,,,,,,,,
1035121,Liverpool,Everton,2,0,Win,,,,,,,,
