match_id,home_team,away_team,home_goals,away_goals,match_outcome,home_ball_possession,home_pass_accuracy,home_total_shots,home_expected_goals,away_ball_possession,away_pass_accuracy,away_total_shots,away_expected_goals,home_expected_goals_against,away_expected_goals_against,home_conversion_rate,away_conversion_rate,home_goal_difference,away_goal_difference,home_expected_goals_difference,away_expected_goals_difference,home_expected_goals_against_difference,away_expected_goals_against_difference,home_shot_difference,away_shot_difference,home_goals_last5_avg,away_goals_last5_avg,home_ball_possession_last5_avg,away_ball_possession_last5_avg,home_pass_accuracy_last5_avg,away_pass_accuracy_last5_avg,home_total_shots_last5_avg,away_total_shots_last5_avg,home_expected_goals_last5_avg,away_expected_goals_last5_avg,home_expected_goals_against_last5_avg,away_expected_goals_against_last5_avg,home_conversion_rate_last5_avg,away_conversion_rate_last5_avg,home_goal_difference_last5_avg,away_goal_difference_last5_avg,home_expected_goals_difference_last5_avg,away_expected_goals_difference_last5_avg,home_expected_goals_against_difference_last5_avg,away_expected_goals_against_difference_last5_avg,home_shot_difference_last5_avg,away_shot_difference_last5_avg,home_goals_avg_all,away_goals_avg_all,home_ball_possession_avg_all,away_ball_possession_avg_all,home_pass_accuracy_avg_all,away_pass_accuracy_avg_all,home_total_shots_avg_all,away_total_shots_avg_all,home_expected_goals_avg_all,away_expected_goals_avg_all,home_expected_goals_against_avg_all,away_expected_goals_against_avg_all,home_conversion_rate_avg_all,away_conversion_rate_avg_all,home_goal_difference_avg_all,away_goal_difference_avg_all,home_expected_goals_difference_avg_all,away_expected_goals_difference_avg_all,home_expected_goals_against_difference_avg_all,away_expected_goals_against_difference_avg_all,home_shot_difference_avg_all,away_shot_difference_avg_all,home_wins_last5,home_draws_last5,home_losses_last5,away_wins_last5,away_draws_last5,away_losses_last5,home_wins_all,home_draws_all,home_losses_all,away_wins_all,away_draws_all,away_losses_all
1035053,Nottingham Forest,Sheffield Utd,2,1,Win,50.0,79.0,16,1.39,50.0,75.0,7,0.5,0.5,1.39,0.125,0.14285714285714285,1,-1,0.8899999999999999,-0.8899999999999999,-0.8899999999999999,0.8899999999999999,9,-9,1.0,0.0,22.0,32.0,69.0,62.0,6.0,8.0,1.18,0.51,0.83,1.89,0.16666666666666666,0.0,-1.0,-1.0,0.35,-1.38,-0.35,1.38,-9.0,-16.0,1.0,0.0,22.0,32.0,69.0,62.0,6.0,8.0,1.18,0.51,0.83,1.89,0.16666666666666666,0.0,-1.0,-1.0,0.35,-1.38,-0.35,1.38,-9.0,-16.0,0,0,1,0,0,1,0,0,1,0,0,1
1035049,Fulham,Brentford,0,3,Loss,55.0,84.0,10,0.46,45.0,83.0,17,3.93,3.93,0.46,0.0,0.17647058823529413,-3,3,-3.47,3.47,3.47,-3.47,-7,7,1.0,2.0,59.0,30.0,85.0,77.0,9.0,11.0,1.5,2.22,2.73,1.27,0.1111111111111111,0.18181818181818182,1.0,0.0,-1.23,0.9500000000000002,1.23,-0.9500000000000002,-10.0,-7.0,1.0,2.0,59.0,30.0,85.0,77.0,9.0,11.0,1.5,2.22,2.73,1.27,0.1111111111111111,0.18181818181818182,1.0,0.0,-1.23,0.9500000000000002,1.23,-0.9500000000000002,-10.0,-7.0,1,0,0,0,1,0,1,0,0,0,1,0
1035056,Wolves,Brighton,1,4,Loss,46.0,84.0,16,2.14,54.0,88.0,16,2.22,2.22,2.14,0.0625,0.25,-3,3,-0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.08000000000000007,0,0,0.0,4.0,49.0,71.0,81.0,91.0,23.0,27.0,2.35,4.01,2.21,1.48,0.0,0.14814814814814814,-1.0,3.0,0.14000000000000012,2.53,-0.14000000000000012,-2.53,8.0,18.0,0.0,4.0,49.0,71.0,81.0,91.0,23.0,27.0,2.35,4.01,2.21,1.48,0.0,0.14814814814814814,-1.0,3.0,0.14000000000000012,2.53,-0.14000000000000012,-2.53,8.0,18.0,0,0,1,1,0,0,0,0,1,1,0,0
1035050,Liverpool,Bournemouth,3,1,Win,65.0,86.0,26,3.08,35.0,73.0,13,1.29,1.29,3.08,0.11538461538461539,0.07692307692307693,2,-2,1.79,-1.79,-1.79,1.79,13,-13,1.0,1.0,35.0,63.0,80.0,82.0,13.0,14.0,1.28,1.37,1.35,1.07,0.07692307692307693,0.07142857142857142,0.0,0.0,-0.07000000000000006,0.30000000000000004,0.07000000000000006,-0.30000000000000004,3.0,-2.0,1.0,1.0,35.0,63.0,80.0,82.0,13.0,14.0,1.28,1.37,1.35,1.07,0.07692307692307693,0.07142857142857142,0.0,0.0,-0.07000000000000006,0.30000000000000004,0.07000000000000006,-0.30000000000000004,3.0,-2.0,0,1,0,0,1,0,0,1,0,0,1,0
1035054,Tottenham,Manchester United,2,0,Win,56.0,85.0,17,1.74,44.0,83.0,22,2.07,2.07,1.74,0.11764705882352941,0.0,2,-2,-0.32999999999999985,0.32999999999999985,0.32999999999999985,-0.32999999999999985,-5,5,2.0,1.0,70.0,51.0,90.0,82.0,18.0,15.0,1.27,2.21,2.22,2.35,0.1111111111111111,0.06666666666666667,0.0,1.0,-0.9500000000000002,-0.14000000000000012,0.9500000000000002,0.14000000000000012,7.0,-8.0,2.0,1.0,70.0,51.0,90.0,82.0,18.0,15.0,1.27,2.21,2.22,2.35,0.1111111111111111,0.06666666666666667,0.0,1.0,-0.9500000000000002,-0.14000000000000012,0.9500000000000002,0.14000000000000012,7.0,-8.0,0,1,0,1,0,0,0,1,0,1,0,0
1035052,Manchester City,Newcastle,1,0,Win,60.0,90.0,14,1.08,40.0,86.0,7,0.29,0.29,1.08,0.07142857142857142,0.0,1,-1,0.79,-0.79,-0.79,0.79,7,-7,3.0,5.0,66.0,53.0,90.0,85.0,17.0,17.0,2.08,3.41,0.33,1.77,0.17647058823529413,0.29411764705882354,3.0,4.0,1.75,1.6400000000000001,-1.75,-1.6400000000000001,11.0,1.0,3.0,5.0,66.0,53.0,90.0,85.0,17.0,17.0,2.08,3.41,0.33,1.77,0.17647058823529413,0.29411764705882354,3.0,4.0,1.75,1.6400000000000001,-1.75,-1.6400000000000001,11.0,1.0,1,0,0,1,0,0,1,0,0,1,0,0
1035047,Aston Villa,Everton,4,0,Win,60.0,90.0,13,3.0,40.0,81.0,9,0.63,0.63,3.0,0.3076923076923077,0.0,4,-4,2.37,-2.37,-2.37,2.37,4,-4,1.0,0.0,47.0,41.0,85.0,79.0,16.0,19.0,1.77,2.73,3.41,1.5,0.0625,0.0,-4.0,-1.0,-1.6400000000000001,1.23,1.6400000000000001,-1.23,-1.0,10.0,1.0,0.0,47.0,41.0,85.0,79.0,16.0,19.0,1.77,2.73,3.41,1.5,0.0625,0.0,-4.0,-1.0,-1.6400000000000001,1.23,1.6400000000000001,-1.23,-1.0,10.0,0,0,1,0,0,1,0,0,1,0,0,1
1035055,West Ham,Chelsea,3,1,Win,24.0,69.0,12,1.8,76.0,88.0,17,2.49,2.49,1.8,0.25,0.058823529411764705,2,-2,-0.6900000000000002,0.6900000000000002,0.6900000000000002,-0.6900000000000002,-5,5,1.0,1.0,37.0,65.0,68.0,87.0,16.0,10.0,1.07,1.35,1.37,1.28,0.0625,0.1,0.0,0.0,-0.30000000000000004,0.07000000000000006,0.30000000000000004,-0.07000000000000006,2.0,-3.0,1.0,1.0,37.0,65.0,68.0,87.0,16.0,10.0,1.07,1.35,1.37,1.28,0.0625,0.1,0.0,0.0,-0.30000000000000004,0.07000000000000006,0.30000000000000004,-0.07000000000000006,2.0,-3.0,0,1,0,0,1,0,0,1,0,0,1,0
1035048,Crystal Palace,Arsenal,0,1,Loss,47.0,86.0,14,1.01,53.0,86.0,14,2.02,2.02,1.01,0.0,0.07142857142857142,-1,1,-1.01,1.01,1.01,-1.01,0,0,1.0,2.0,68.0,78.0,83.0,90.0,24.0,15.0,1.89,0.83,0.51,1.18,0.041666666666666664,0.13333333333333333,1.0,1.0,1.38,-0.35,-1.38,0.35,16.0,9.0,1.0,2.0,68.0,78.0,83.0,90.0,24.0,15.0,1.89,0.83,0.51,1.18,0.041666666666666664,0.13333333333333333,1.0,1.0,1.38,-0.35,-1.38,0.35,16.0,9.0,1,0,0,1,0,0,1,0,0,1,0,0
1035062,Chelsea,Luton,3,0,Win,67.0,92.0,19,2.27,33.0,78.0,11,0.44,0.44,2.27,0.15789473684210525,0.0,3,-3,1.83,-1.83,-1.83,1.83,8,-8,1.0,1.0,70.5,29.0,87.5,72.0,13.5,9.0,1.9200000000000002,1.48,1.54,4.01,0.07941176470588235,0.1111111111111111,-1.0,-3.0,0.3800000000000001,-2.53,-0.3800000000000001,2.53,1.0,-18.0,1.0,1.0,70.5,29.0,87.5,72.0,13.5,9.0,1.9200000000000002,1.48,1.54,4.01,0.07941176470588235,0.1111111111111111,-1.0,-3.0,0.3800000000000001,-2.53,-0.3800000000000001,2.53,1.0,-18.0,0,1,1,0,0,1,0,1,1,0,0,1
