match_id,home_team,away_team,home_goals,away_goals,match_outcome
1035311,Newcastle,Manchester United,1,0,Win
1035304,Bournemouth,Aston Villa,2,2,Draw
1035309,Liverpool,Fulham,4,3,Win
1035313,West Ham,Crystal Palace,1,1,Draw
1035308,Chelsea,Brighton,3,2,Win
1035310,Manchester City,Tottenham,3,3,Draw
1035321,Wolves,Burnley,1,0,Win
1035318,Luton,Arsenal,3,4,Loss
1035317,Fulham,Nottingham Forest,5,0,Win
1035315,Brighton,Brentford,2,1,Win
1035322,Crystal Palace,Bournemouth,0,2,Loss
1035319,Sheffield Utd,Liverpool,0,2,Loss
1035323,Manchester United,Chelsea,2,1,Win
1035314,Aston Villa,Manchester City,1,0,Win
1035316,Everton,Newcastle,3,0,Win
1035320,Tottenham,West Ham,1,2,Loss
1035326,Crystal Palace,Liverpool,1,2,Loss
1035330,Manchester United,Bournemouth,0,3,Loss
1035333,Wolves,Nottingham Forest,1,1,Draw
1035325,Brighton,Burnley,1,1,Draw
1035331,Sheffield Utd,Brentford,1,0,Win
1035324,Aston Villa,Arsenal,1,0,Win
1035328,Fulham,West Ham,5,0,Win
1035327,Everton,Chelsea,2,0,Win
1035329,Luton,Manchester City,1,2,Loss
1035332,Tottenham,Newcastle,4,1,Win
1035342,Nottingham Forest,Tottenham,0,2,Loss
1035341,Newcastle,Fulham,3,0,Win
1035338,Chelsea,Sheffield Utd,2,0,Win
1035340,Manchester City,Crystal Palace,2,2,Draw
1035337,Burnley,Everton,0,2,Loss
1035335,Arsenal,Brighton,2,0,Win
1035343,West Ham,Wolves,3,0,Win
1035336,Brentford,Aston Villa,1,2,Loss
1035339,Liverpool,Manchester United,0,0,Draw
1035345,Crystal Palace,Brighton,1,1,Draw
1035344,Aston Villa,Sheffield Utd,1,1,Draw
1035352,West Ham,Manchester United,2,0,Win
1035346,Fulham,Burnley,0,2,Loss
1035351,Tottenham,Everton,2,1,Win
1035350,Nottingham Forest,Bournemouth,2,3,Loss
1035348,Luton,Newcastle,1,0,Win
1035347,Liverpool,Arsenal,1,1,Draw
1035353,Wolves,Chelsea,2,1,Win
1035362,Newcastle,Nottingham Forest,1,3,Loss
1035354,Bournemouth,Fulham,3,0,Win
1035363,Sheffield Utd,Luton,2,3,Loss
1035358,Burnley,Liverpool,0,2,Loss
1035361,Manchester United,Aston Villa,3,2,Win
1035359,Chelsea,Crystal Palace,2,1,Win
1035356,Brentford,Wolves,1,4,Loss
1035360,Everton,Manchester City,1,3,Loss
1035357,Brighton,Tottenham,4,2,Win
1035355,Arsenal,West Ham,0,2,Loss
1035368,Luton,Chelsea,2,3,Loss
1035373,Wolves,Everton,3,0,Win
1035369,Manchester City,Sheffield Utd,2,0,Win
1035365,Crystal Palace,Brentford,3,1,Win
1035364,Aston Villa,Burnley,3,2,Win
1035370,Nottingham Forest,Manchester United,2,1,Win
1035366,Fulham,Arsenal,2,1,Win
1035371,Tottenham,Bournemouth,3,1,Win
1035367,Liverpool,Newcastle,4,2,Win
1035372,West Ham,Brighton,0,0,Draw
1035378,Burnley,Luton,1,1,Draw
1035379,Chelsea,Fulham,1,0,Win
1035382,Newcastle,Manchester City,2,3,Loss
1035380,Everton,Aston Villa,0,0,Draw
1035381,Manchester United,Tottenham,2,2,Draw
1035375,Arsenal,Crystal Palace,5,0,Win
1035376,Brentford,Nottingham Forest,3,2,Win
1035383,Sheffield Utd,West Ham,2,2,Draw
1035374,Bournemouth,Liverpool,0,4,Loss
1035377,Brighton,Wolves,0,0,Draw
1035387,Nottingham Forest,Arsenal,1,2,Loss
1035385,Fulham,Everton,0,0,Draw
1035386,Luton,Brighton,4,0,Win
1035391,Crystal Palace,Sheffield Utd,3,2,Win
1035384,Aston Villa,Newcastle,1,3,Loss
1035388,Tottenham,Brentford,3,2,Win
1035393,Manchester City,Burnley,3,1,Win
1035392,Liverpool,Chelsea,4,1,Win
1035389,West Ham,Bournemouth,1,1,Draw
1035390,Wolves,Manchester United,3,4,Loss
1035400,Everton,Tottenham,2,2,Draw
1035402,Newcastle,Luton,4,4,Draw
1035398,Burnley,Fulham,2,2,Draw
1035397,Brighton,Crystal Palace,4,1,Win
1035403,Sheffield Utd,Aston Villa,0,5,Loss
1035401,Manchester United,West Ham,3,0,Win
1035394,Bournemouth,Nottingham Forest,1,1,Draw
1035399,Chelsea,Wolves,2,4,Loss
1035395,Arsenal,Liverpool,3,1,Win
